id,question,answers,correct,tags
1,"Which of the following sentences is correct?","[{"id": 0, "answer":"She always arrive late on Mondays."}, {"id": 1, "answer":"He has gone to the store yesterday."}, {"id": 2, "answer":"They were watching a movie when I called."}, {"id": 3, "answer":"I am thinking you should try it again."}]",2,[""]
2,"Choose the correct verb form: ""If he __ harder, he would have passed the exam.""","[{"id": 0, "answer":"studied"}, {"id": 1, "answer":"had studied"}, {"id": 2, "answer":"studies"}, {"id": 3, "answer":"will study"}]",1,[""]
3,"Select the word closest in meaning to ""exhausted.""","[{"id": 0, "answer":"tired"}, {"id": 1, "answer":"relaxed"}, {"id": 2, "answer":"calm"}, {"id": 3, "answer":"excited"}]",0,[""]
4,"Complete the sentence with the correct preposition: ""She is really good __ cooking Italian dishes.""","[{"id": 0, "answer":"in"}, {"id": 1, "answer":"at"}, {"id": 2, "answer":"on"}, {"id": 3, "answer":"to"}]",1,[""]
5,"Which of these sentences contains a conditional?","[{"id": 0, "answer":"They arrived late last night."}, {"id": 1, "answer":"If it rains, we'll stay home."}, {"id": 2, "answer":"She goes to the gym every Tuesday."}, {"id": 3, "answer":"I am watching a new series."}]",1,[""]
6,"Choose the correct option: ""He promised to __ his work by the end of the day.""","[{"id": 0, "answer":"completes"}, {"id": 1, "answer":"complete"}, {"id": 2, "answer":"completed"}, {"id": 3, "answer":"completing"}]",1,[""]
7,"Which of the following means ""to make someone feel confused or surprised?""","[{"id": 0, "answer":"amaze"}, {"id": 1, "answer":"annoy"}, {"id": 2, "answer":"bewilder"}, {"id": 3, "answer":"calm"}]",2,[""]
8,"Complete the sentence: ""I'm afraid I can't meet you tomorrow, __ something urgent comes up.""","[{"id": 0, "answer":"unless"}, {"id": 1, "answer":"although"}, {"id": 2, "answer":"despite"}, {"id": 3, "answer":"because"}]",0,[""]
9,"Which of these sentences is in the passive voice?","[{"id": 0, "answer":"She made a delicious cake."}, {"id": 1, "answer":"The report was finished on time."}, {"id": 2, "answer":"They are writing a book."}, {"id": 3, "answer":"He gave her the keys."}]",1,[""]

[{"id": 0, "answer":"$$2O$$"}, {"id": 1, "answer":"$$O_2$$"}, {"id": 2, "answer":"$$H^2$$"}, {"id": 3, "answer":"$$O^2$$"}]
